ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
55,-46390308,-23512705,355030836000058,3550308005254,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,CEU Parque Veredas,Biblioteca Paulo Leminski,"R. Daniel Pedro Muller, s/n - Camargo Velho",6563.6249 / 50,Camargo Velho,,2,1,,
56,-46448722,-23533131,355030837000015,3550308005201,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,Sérgio Buarque de Holanda,,"R. Augusto C. Baumann, 564",6205-7406,Itaquera,,2,1,,
57,-46644849,-23650860,355030838000025,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,Centro Cultural Jabaquara(Jacob Salvador Zveibil),Paulo Duarte,"Rua Arsênio Tavolieri, 45",5011-7445,Jabaquara,04321-03,2,1,,
58,-46750769,-23436284,355030842000151,3550308005185,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,CEU Pêra-Marmelo,Biblioteca,"R. Pêra-Marmelo, 226 ê Vila Aurora",3948.3915 / 67,Vila Aurora,,2,1,,
59,-46744960,-23645117,355030846000283,3550308005228,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CEU Casa Blanca,Biblioteca Patativa do Assaré,"R. João Damasceno, 85 - Jdim. Casa Blanca",5519.5212 / 14,Jardim Casa Blanca,,2,1,,
60,-46440326,-23549953,355030847000068,3550308005263,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,Vicente de Carvalho,,"R. Guilherme Valência, 210",6521-0553,Cohab.II Itaquera,08255-01,2,1,,
61,-46425547,-23535575,355030896000121,3550308005258,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,CEU Jambeiro,Biblioteca Eugênia Álvaro Moreyra,"R. Flores do Jambeiro, 61 - Guaianases",6960.2055 / 59 / 60,Guaianases,,2,1,,
62,-46405085,-23536611,355030896000004,3550308005259,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,Jamil Almansur Haddad,,"R. Andes, 491-A",6557-0067,Guaianases,08461-00,2,1,,
63,-46700465,-23526665,355030848000003,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,Francisco Patti,,"R. Catão, 611",3672-0456,Lapa,,2,1,,
64,-46639659,-23569642,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Centro Cultural São Paulo,Sergio Milliet,"Rua Vergueiro, 1.000",3277-3611 r. 240,Paraíso,01504-00,2,1,,
65,-46639659,-23569642,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Centro Cultural São Paulo,Biblioteca de Braile,"Rua Vergueiro, 1.000",3277-3611 r. 246,Paraíso,,2,1,,
66,-46632029,-23482198,355030851000070,3550308005129,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,Pedro da Silva Nava,,"Av. Eng. Caetano Álvares, 5.903",6973-7293,Mandaqui,,2,1,,
67,-46661688,-23590457,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Bosque de Leitura - Ibirapuera,,"Av. República do Líbano, 1.151 - Portão 7",3253-2331 r. 376,Pq. Ibirapuera,,2,1,,
68,-46597482,-23550688,355030853000057,3550308005017,54,MOOCA,25,MOOCA,Leste,Leste 1,Affonso Taunay,,"R. Taquari, 549",292-5126,Moóca,,2,1,,
69,-46610957,-23526216,355030856000009,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,Adelpha Figueiredo,,"Pça. Ilo Otani, 146",6694-0013,Canindé,03028-00,2,1,,
70,-46671440,-23699106,355030858000110,3550308005213,59,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,CEU Alvarenga,Biblioteca,"Estrada do Alvarenga, 3752 - Balneário S. Francisco",5672.2540/41/43/48,Balneário S. Francisco,,2,1,,
71,-46548367,-23525329,355030859000118,3550308005071,60,PENHA,21,PENHA,Leste,Leste 1,Guilherme de Almeida,,"Lgo. do Rosário, 20 - 20 andar",295-0401,Penha,02233-06,2,1,,
