ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1295,-46643143,-23544853,355030866000012,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,TD - Teatro de Danca,,"Av Ipiranga, 344 - subsolo",2189-2555,Centro,,9,4,,278
1296,-46643017,-23544970,355030866000012,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Salao Principal do Circolo Italiano,,"Av Sao  Luís, 50 1º andar",2189-2900,Centro,,9,4,,300
1297,-46639492,-23548100,355030866000004,3550308005002,67,REPUBLICA,9,SE,Centro,Centro,Clube Caravaggio,,"R Álvaro de Carvalho, 40",3262-4881,República,,9,4,,
1298,-46636971,-23557378,355030849000087,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Casa de PortuGal,,"Av Liberdade, 602",3209-5554,Centro,,9,4,,800
1299,-46636797,-23556800,355030849000087,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Teatro Fecap (Fundação Escola de Comércio Álvares Penteado),,"Av Liberdade,532",0800-551902,Centro,,9,4,,392
1300,-46629493,-23551116,355030878000003,3550308005001,80,SE,9,SE,Centro,Centro,SESC Carmo,,"R do Carmo, 147",3105-9121,Centro,,9,4,,200
1301,-46640361,-23541812,355030866000002,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Bar Brahma,,"Av São João, 677",3333-0855,República,,9,4,,500
1302,-46639501,-23543757,355030866000002,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Sesc 24 de Maio,Espaco Transitorio - sala de multi uso,"R Dom José de Barros, esquina com a R Vinte e Quatro de Maio",3224-8638,República,,9,4,,80
1303,-46633633,-23543191,355030878000007,3550308005001,80,SE,9,SE,Centro,Centro,Monsteiro de São  Bento - Teatro,,"R Sao  Bento, s/n",3328-8793,Centro,,9,4,,300
1304,-46630094,-23528147,355030809000011,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Galpao Tiradentes,,"Av Tiradentes, 846",3313-2881,Bom Retiro,,9,4,,2000
1305,-46659050,-23526849,355030869000096,3550308005027,70,SANTA CECILIA,9,SE,Centro,Centro,Clash Club,,"R Barra Funda, 969",3661-7500,Barra Funda,,9,4,,1000
1306,-46660326,-23523078,355030806000026,3550308005029,06,BARRA FUNDA,8,LAPA,Oeste,Oeste,Livraria da Esquina,,"R do Bosque, 1254",3392-3089,Barra Funda,,9,4,,100
