ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURAÇAO,ASSENTOS
31,-46548367,-23525329,355030859000118,3550308005071,60,PENHA,21,PENHA,Leste,Leste 1,Senhora Leandro Dupré,,"R. Dr. João A. Ribeiro, s/n",2295-9624,Penha,03634-00,1,1,1971/12/17,
32,-46604112,-23481017,355030882000005,3550308005066,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,"Sylvia Orthof (antigo Tucuruvi, junção com Dinah Silveira de Queroz)",,"Av. Tucuruvi, 808",6981-6264,Tucuruvi,02276-01,1,1,1981/07/12,
33,-46700520,-23486018,355030829000012,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Thales Castanho de Andrade,,"R. Arthur Fajardo, 447",3975-7439,Freg. do Ó,02963-00,1,1,1965/04/16,
34,-46420291,-23501443,355030884000193,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,Vicente Paulo Guimarães,,"R. Jaguar, 225",6135-5322,Vila Curuçá,08030-46,1,1,1990/02/21,
35,-46434958,-23553479,355030847000033,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,Vinícius de Morais,,"R. Jardim Tamoio, 1.119 - Itaquera II",6521-6914,Itaquera,08255-01,1,1,1984/05/10,
36,-46638989,-23593062,355030890000059,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Viriato Correa,,"R. Sena Madureira, 298",5573-4017/,V. Mariana,04021-05,1,1,1952/07/25,
37,-46625581,-23599003,355030890000115,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Zalina Rolim,,"R. Corredeira, 26",5573-2606,V. Mariana,04127-14,1,1,1956/03/13,
38,-46610957,-23526216,355030856000009,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,Adelpha Figueiredo,,"Pça. Ilo Otani, 146",6694-0013,Canindé,03028-00,2,1,1966/10/06,
39,-46597482,-23550688,355030853000057,3550308005017,54,MOOCA,25,MOOCA,Leste,Leste 1,Affonso Taunay,,"R. Taquari, 549",6292-5126,Moóca,03166-00,2,1,1965/02/02,
40,-46700976,-23481049,355030829000168,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Afonso Schmidt,,"Av. Elísio T. Leite, 1.470",3975-2305,Vila Cruz das Almas,02801-00,2,1,1966/04/16,
41,-46681575,-23558856,355030862000093,3550308005052,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Alceu Amoroso Lima,,"R. Henrique Schaumann, 777",3082-5023,Pinheiros,05413-02,2,1,1979/12/11,
42,-46592268,-23503619,355030889000098,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,Álvares de Azevedo (junção com Pablo Neruda),,Pça. Joaquim José da Nova s/n,6954-3118,Vila Maria,02126-00,2,1,1956/09/07,
43,-46615948,-23612004,355030827000030,3550308005044,27,CURSINO,13,IPIRANGA,Sul,Sul 1,Amadeu Amaral,,R. José Clóvis Castro s/n,5061-3320,Jardim da Saúde,04290-10,2,1,1966/10/06,
44,-46547401,-23594544,355030872000014,3550308005081,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,Aureliano Leite,,"R. Otto Schubart, 196",6211-7716,Parque São Lucas,03238-03,2,1,1981/07/08,
45,-46650864,-23548038,355030826000081,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,BMA - Biblioteca Circulante,,"R. da Consolação, 1.024",3257-8787,Consolação,01302-00,2,1,,
46,-46641222,-23547697,355030866000006,3550308005002,67,REPUBLICA,9,SE,Centro,Centro,BMA - Ônibus Biblioteca,,"R. da Consolação, 94",3241-3459,Consolação,01302-00,2,1,,
47,-46661688,-23590457,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Bosque de Leitura - Ibirapuera,,"Av. República do Líbano, 1.151 - Portão 7",3253-2331,Pq. Ibirapuera,04502-00,2,1,,
48,-46574846,-23528840,355030880000052,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Bosque de Leitura - Piqueri,,"Rua Tuiuti, 515",3253-2331,Tatuapé,03081-00,2,1,,
49,-46740634,-23484700,355030895000104,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,Brito Broca (junção com a Orígenes Lessa),,"Av. Mutinga, 1.425",3904-1444,Pirituba,05110-00,2,1,1965/03/04,
50,-46571682,-23535614,355030880000021,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Cassiano Ricardo,,"Av. Celso Garcia, 4.200",6192-4570,Tatuapé,03064-00,2,1,1953/02/03,
51,-46644849,-23650860,355030838000025,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,Paulo Duarte (junção com a Dr. Joaquim José de Carvalho - Centro Cultural Jabaquara(Jacob Salvador Zveibil),,"R. Arsênio Tavolieri, 45",5011-7445,Jabaquara,04321-03,2,1,1980/07/12,
52,-46639659,-23569642,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Biblioteca de Braile - Centro Cultural São Paulo,,"Rua Vergueiro, 1.000",3277-3611,Paraíso,01504-00,2,1,1947/04/29,
53,-46639659,-23569642,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Sérgio Milliet (Inclui a Bibl. Alfredo Volpi (março/1983 - denom. Set/1996) e Discoteca Oneyda Alvarenga(30-05-1935 - denom.1987) - CCSP),,"Rua Vergueiro, 1.000",3277-3611,Paraíso,01504-00,2,1,1983/03,
54,-46671440,-23699106,355030858000110,3550308005213,59,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,Raquel de Queiroz - CEU Alvarenga,,"Estrada do Alvarenga, 3752  -  Balneário S. Francisco",5672.2540/,Balneário S. Francisco,,2,1,2003/12/09,
55,-46502727,-23570016,355030824000082,3550308005152,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,Mário Quintana - CEU Aricanduva,,"Av. Olga Fadel Abarca, s/n - Av. Aricanduva, alt. 5555 - quadra 280",6723.7556/,Jardim Santa Terezinha,,2,1,2003/09/07,
56,-46773359,-23590523,355030865000001,3550308005238,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,Roberto Marinho - CEU Butantã,,"Av. Eng. Heitor Antonio Eiras Garcia, 1700 J.Esmeralda",3732.4550,Jardim Esmeralda,,2,1,2003/09/27,
57,-46779310,-23637081,355030817000050,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,João do Rio - CEU Campo Limpo,,"Av. Carlos Lacerda, 678 - Chácara São Pedro",5843.4837/,Chácara São Pedro,,2,1,2004/04/17,
58,-46744960,-23645117,355030846000283,3550308005228,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,Patativa do Assaré - CEU Casa Branca,,"R. João Damasceno, 85 - Jdim. Casa Blanca",5519.5212,Jardim Casa Blanca,,2,1,2004/06/27,
59,-46703753,-23709836,355030823000169,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,Rubem Braga - CEU Cidade Dutra,,"Av. Interlagos, 7.350 - Jdim. São Nicolau",5668.1952,Jardim São Nicolau,,2,1,2003/08/30,
60,-46411435,-23569249,355030825000247,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,Adelaide de Castro Alves Guimarães - CEU Inácio Monteiro,,"R. Br. Barroso do Amazonas, s/n -  Prestes Maia",6518.9014,Prestes Maia,,2,1,2003/11/21,
61,-46425439,-23535459,355030896000121,3550308005258,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,Eugênia Álvaro Moreyra - CEU Jambeiro,,"R. Flores do Jambeiro, 61 - Guaianases",6960.2055,Guaianases,,2,1,2003/08/01,
62,-46583212,-23621287,355030868000250,3550308005086,69,SACOMA,13,IPIRANGA,Sul,Sul 1,Wally Salomão - CEU Meninos,,"R. Barbinos, 112 - J. Patente",6945.2543,Jardim Patente,,2,1,2003/10/28,
63,-46660474,-23742691,355030830000293,3550308005304,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,Narcisa Amália Campos - CEU Navegantes,,"R. Maria Moassab Barbour, s/n",5976.5544/,Grajaú,,2,1,2003/12/12,
64,-46750433,-23436201,355030842000151,3550308005185,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,Educador Paulo Freire - CEU Pêra Marmelo,,"R. Pãra-Marmelo, 226 - Vila Aurora",3948.3915,Vila Aurora,,2,1,2003/11/13,
65,-46472379,-23509582,355030887000129,3550308005195,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,Barbosa Lima Sobrinho CEU Parque São Carlos,,"R. Clarear, 141 - Jdim. São Carlos",6145.4255,Jardim São Carlos,,2,1,2003/12/03,
66,-46390308,-23512705,355030836000058,3550308005254,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,Paulo Leminski - CEU Parque Veredas,,"R. Daniel Pedro Muller, s/n- Camargo Velho",6563.6249,Camargo Velho,,2,1,2003/09/15,
67,-46686439,-23449553,355030811000174,3550308005190,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Augusto dos Anjos - CEU Paz,,"R. da Paz, s/n",3986.3450,Brasilândia,,2,1,2004/05/15,
68,-46752460,-23405267,355030861000001,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,João Antônio - CEU Perus,,"R. Bernardo José de Lourena, s/n",39158750 /,Perus,,2,1,2003/08/25,
69,-46500299,-23619962,355030876000182,3550308005209,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,Juó Bananére - CEU Rosa da China,,"R. Clara Petrella, s/n - Jd. São Roberto",6701.2356,Jardim São Roberto,,2,1,2003/08/10,
70,-46448954,-23603032,355030833000070,3550308005274,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,Camilo Pedro dos Reis - CEU São Mateus,,"R. Curumatim, 201 - Pque Boa Esperança",6732.8154,Parque Boa Esperança,,2,1,2003/11/08,
71,-46443635,-23635442,355030875000202,3550308005278,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,Mário Palmério - CEU São Rafael,,"R. Cinira Polônio, 100 - j. Rio Claro",6752.1052/,Jardim Rio Claro,,2,1,2004/03/28,
72,-46679930,-23768351,355030830000600,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,Ana Aurora do Amaral Lisboa - CEU Três Lagos,,"Estrada do Barro Branco, s/n - J. Noronha",5976.5661,Jardim Noronha,,2,1,2003/12/19,
73,-46756818,-23480308,355030895000076,3550308005111,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,Maria Benedita Câmara Bormann - CEU Vila Atlântica,,"R. Cel. José Venâncio Dias, 840 - J. Nardini",3901.8744/,Jardim Nardini,,2,1,2003/10/12,
74,-46411341,-23494735,355030884000107,3550308005248,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,João Cabral de Mello Neto - CEU Vila Curuçá,,"Av. Marechal Tito, 3.400 -V. Curuçá",6563.6150,Vila Curuçá,,2,1,2003/11/28,
75,-46604112,-23481017,355030882000005,3550308005066,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,Dinah Silveira de Queirós,,"Av. Tucuruvi, 808",6981-6263,Tucuruvi,02304-00,2,1,1981/07/12,
76,-46700465,-23526665,355030848000003,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,Mario Schenberg (antiga Francisco Patti),,"R. Catão, 611",3672-0456,Lapa,05049-00,2,1,1966/11/26,
77,-46515993,-23600491,355030876000027,3550308005156,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,Gilberto Freyre,,"R. José Joaquim, 290",6103-1811,Sapopemba,03272-00,2,1,1988/08/27,
78,-46548367,-23525329,355030859000118,3550308005071,60,PENHA,21,PENHA,Leste,Leste 1,Guilherme de Almeida,,"Largo do Rosário, 20 - 2 andar",2296-6172,Penha,03634-00,2,1,1971/12/17,
79,-46773729,-23632121,355030817000190,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Helena Silveira,,"João B. Reimão, 146",5841-1259,Campo Limpo,05788-27,2,1,1988/11/05,
80,-46405085,-23536611,355030896000004,3550308005259,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,Jamil Almansur Haddad,,"R. Andes, 491-A",6557-0067,Guaianases,08440-18,2,1,1991/04/06,
81,-46641869,-23547098,355030866000003,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Mário de Andrade,,"R. da Consolação, 94",3241-3459,Consolação,01302-00,2,1,1925/02/25,
82,-46503765,-23569581,355030804000072,3550308005151,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,Milton Santos,,"Av. Aricanduva, 5.777",6726-4882,Jardim Aricanduva,03527-00,2,1,2001/11/21,
83,-46602064,-23587474,355030834000014,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,Roberto Santos (antiga Ministro Genésio Almeida Moura),,"R. Cisplatina, 505",2273-2390,Ipiranga,04211-04,2,1,1965/04/03,
84,-46619249,-23498019,355030870000042,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Nuto Sant'Anna,,"Pça. Tenório Aguiar, 32",6973-0072,Santana,02044-08,2,1,1957/02/07,
85,-46540077,-23571307,355030885000015,3550308005079,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,Paulo Setúbal (junção com José Paulo Paes),,"Av. Renata, 163",6211-1507,Vila Formosa,03377-00,2,1,1966/10/07,
86,-46632029,-23482198,355030851000070,3550308005129,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,Pedro da Silva Nava,,"Av. Eng.Caetano Álvares, 5.903",6973-7293,Mandaqui,02413-10,2,1,1988/12/17,
87,-46484327,-23546256,355030805000081,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,Plínio Ayrosa,,"Av. Padre Francisco de Toledo, 331",6741-0371,Cohab.I Itaquera,03590-12,2,1,1982/01/24,
88,-46708349,-23645678,355030871000035,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Prestes Maia (antiga Presidente Kennedy),,"Av. João Dias, 822",5687-0513,Santo Amaro,04724-00,2,1,1965/04/04,
89,-46435531,-23494819,355030874000095,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,Raimundo de Menezes,,"Av. Marechal Tito, 916",6297-4053,São Miguel Paulista,08010-09,2,1,1980/07/12,
90,-46480025,-23485919,355030828000102,3550308005139,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,Rubens Borba Morais,,"R. Sampei Sato, 440",6943-5255,Ermelino Matarazzo,03814-00,2,1,1990/05/19,
91,-46448760,-23533051,355030837000015,3550308005201,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,Sérgio Buarque de Holanda,,"R. Augusto C. Baumann, 564",6205-7406,Itaquera,08210-59,2,1,1981/01/25,
92,-46440326,-23549953,355030847000068,3550308005263,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,Vicente de Carvalho,,"R. Guilherme Valãncia, 210",6521-0553,Cohab.II Itaquera,08253-28,2,1,1985/05/10,
93,-46468533,-23569628,355030857000078,3550308005205,58,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,Bosque de Leitura do Carmo,,"Av. Afonso de Sampaio e Souza, 951",,Parque do Carmo,,2,1,,
94,-46633766,-23531662,355030809000012,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Bosque de Leitura da Luz,,"Rua Ribeiro de Lima, 99 - Parque da Luz",,Luz,,2,1,,
95,-46626019,-23515174,355030870000058,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Arquivo do Estado - Biblioteca,,"Rua Voluntários da Pátria, 596",6221-4785,Santana,01307-01,2,2,,
96,-46725327,-23558172,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Biblioteca Central da USP,,Cidade Universitária,818-5360,Cidade Universitária,05508-90,2,2,,
97,-46639188,-23534257,355030869000100,3550308005014,70,SANTA CECILIA,9,SE,Centro,Centro,CONDEPHAAT - Biblioteca,,"Rua Mauá, 51",3351-8002/,Centro,,2,2,,
98,-46707285,-23651477,355030871000031,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Casa Amarela,,"Praça Floriano Peixoto, 131",5548-1115,Santo Amaro,04751-03,3,1,,
99,-46428812,-23506263,355030884000142,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CC Chico Mendes,,"Rua Cembira, 1.202",6135-3022,Vila Curuçá,08032-01,3,1,,
100,-46608290,-23615073,355030868000197,3550308005085,27,CURSINO,13,IPIRANGA,Sul,Sul 1,CC Chico Science (Antiga CC do Ipiranga),,"Av. Tancredo Neves, 1.265",6969-7066,Moinho Velho,04287-00,3,1,,
101,-46548367,-23525329,355030859000118,3550308005071,60,PENHA,21,PENHA,Leste,Leste 1,CC da Penha,,"Largo do Rosário, 20, 3 andar",2296-6172,Penha,03634-02,3,1,,
102,-46702464,-23710807,355030823000062,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CC de Interlagos,,"Rua Padre José  Garzotti, 545",5669-2765,Cidade Dutra,04806-00,3,1,,
103,-46708298,-23646134,355030871000033,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,CC de Santo Amaro,,"Praça Francisco Ferreira Lopes, 434",5522-8897,Santo Amaro,04751-06,3,1,,
104,-46732152,-23586883,355030812000104,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,CC do Butantã,,"Rua Junta Mizumoto, 13",3742-6218,Jardim Peri-Peri,05537-07,3,1,,
105,-46395003,-23498410,355030836000105,3550308005249,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,CC do Itaim Paulista,,"Rua Barão de Alagoas, 340",6963-2742,Itaim Paulista,08120-00,3,1,,
106,-46742412,-23672121,355030846000005,3550308005221,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CC do M'Boi Mirim,,"Rua Inácio Dias da Silva, s/n",5514-3408,M'Boi Mirim,04913-18,3,1,,
107,-46582109,-23532902,355030880000128,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,CC do Tatuapé,,"Rua Guabiju, 49",2296-4330,Tatuapé,03077-10,3,1,,
108,-46443211,-23552861,355030847000096,3550308005263,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,CC Raul Seixas,,"Rua Murmúrios da Tarde, 211 Parque Raul Seixas Cohab II",6521-6411,Itaquera,08253-58,3,1,,
109,-46698464,-23500929,355030829000047,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,CC Salvador Ligabue (Antiga CC da Freguesia do Ó),,"Largo da Matriz, 215",3931-8266,Freguesia do Ó,02925-04,3,1,,
110,-46435533,-23494821,355030874000095,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,CC São Miguel Paulista,,"Av. Marechal Tito, 916",6137-5009/,São Miguel Paulista,08010-09,3,1,,
111,-46644849,-23650860,355030838000025,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,Centro Cultural Jabaquara(Jacob Salvador Zveibil),,"R. Arsênio Tavolieri, 45",5011-2421,Jabaquara,04321-03,3,1,,
112,-46639659,-23569642,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Centro Cultural São Paulo,,"Rua Vergueiro, 1.000",3277-3611,Paraíso,,3,1,,
113,-46695620,-23522001,355030848000036,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,Espaço Cultural  Tendal da Lapa,,"Rua Guaicurus, 1.100",3862-1837,Lapa,05033-00,3,1,,
114,-46662400,-23555230,355030826000037,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,Galeria da Consolação,,Pass. subterrânea entre Av. Paulista (altura do nº 2.423 da R. da Consolação),3151-0639,Consolação,,3,1,,
